,europe,east-africa,northwest-africa,north-america,south-america,japan
10,0.648854961832061,0.8044321600267037,0.5571731169670424,0.7307138799469798,0.8206878685826615,0.6261122002714523
20,0.013271406235629541,0.8789175238847345,0.7485998420334602,0.23239916682446507,0.26905200920409,0.00011310511235107827
30,0.6997884668444772,0.8804318180893026,0.8451389387520644,0.7300132550653285,0.7311613306310287,0.3654426180063339
40,0.45229467488273706,0.715841878376123,0.6736824154519997,0.22849839045635295,0.18019596787711625,0.24717237219122304
50,0.38667341120206017,0.3791149520269968,0.24134774179651036,0.35125923120621094,0.22117245477957423,0.14763987332227416
60,0.08773107697967442,0.12511245262742257,0.17679686939039277,0.3137095247112289,0.16309830394831082,0.06816468104358317
70,0.01695944081670192,0.0,0.0,0.0,0.0,0.0
80,0.48501793433275087,0.07186384378345592,0.11172542543261291,0.28271160765006625,0.2541639364247291,0.41928065148544713
90,0.1314908488917502,0.07641079708050591,0.05561140231205572,0.07754213217193713,0.09293997531353336,0.011687528276278088
95,0.0,0.0011520033868085435,0.01746607309542615,0.017496686233667867,0.01891105252731512,7.540340823405218e-05
100,0.06343235537570127,0.0,0.0,0.002859306949441394,0.0,3.770170411702609e-05
