,lat_topleft,lon_topleft,height,width,building_label,road_label,lc_label,similarity,image_size
denmark-1_1_0,56.87304737352809,8.134911654430175,2500,1804,denmark-1_1_label_building.tif,,True,0.9883665188470068,4510000
denmark-1_2_0,56.64808873661871,8.085002830287017,2500,2142,denmark-1_2_label_building.tif,,True,0.9881998132586368,5355000
denmark-1_3_0,56.42346336715708,8.085320776119717,2500,2173,denmark-1_3_label_building.tif,,True,0.978205430280718,5432500
denmark-1_4_0,56.19871680314403,8.068653968519895,2500,2310,denmark-1_4_label_building.tif,,True,0.9760793073593074,5775000
denmark-1_5_0,55.97429083885171,8.09950623795309,2500,2151,denmark-1_5_label_building.tif,,True,0.9885396559739656,5377500
denmark-1_6_0,55.74928247197074,8.049168260367548,2500,2500,denmark-1_6_label_building.tif,,True,0.9603656,6250000
denmark-1_7_0,56.87468714103954,8.430968608515405,2500,2500,denmark-1_7_label_building.tif,,True,0.9731824,6250000
denmark-1_8_0,56.650147548602426,8.434273115437653,2500,2500,denmark-1_8_label_building.tif,,True,0.98585488,6250000
denmark-1_9_0,56.42556355170768,8.437645374248437,2500,2500,denmark-1_9_label_building.tif,,True,0.9667472,6250000
denmark-1_10_0,56.20098803666424,8.440955789359252,2500,2500,denmark-1_10_label_building.tif,,True,0.97720576,6250000
denmark-1_11_0,55.97631664252434,8.444175233124659,2500,2500,denmark-1_11_label_building.tif,,True,0.97490976,6250000
denmark-1_12_0,55.75174219430632,8.447388809713587,2500,2500,denmark-1_12_label_building.tif,,True,0.96128112,6250000
denmark-1_13_0,56.87588873438951,8.8411167420307,2500,2500,denmark-1_13_label_building.tif,,True,0.9835912,6250000
denmark-1_14_0,56.65128830092848,8.841939717043823,2500,2500,denmark-1_14_label_building.tif,,True,0.95490192,6250000
denmark-1_15_0,56.42674223157365,8.842859199305568,2500,2500,denmark-1_15_label_building.tif,,True,0.96315504,6250000
denmark-1_16_0,56.20215907548839,8.843784217470551,2500,2500,denmark-1_16_label_building.tif,,True,0.96052688,6250000
denmark-1_17_0,55.97747241469292,8.844772550425747,2500,2500,denmark-1_17_label_building.tif,,True,0.97331376,6250000
