,lat_topleft,lon_topleft, similarity
denmark-1_1_0,56.87304737352809,8.134911654430175,0.9883665188470068
denmark-1_2_0,56.64808873661871,8.085002830287017,0.9881998132586368
denmark-1_3_0,56.42346336715708,8.085320776119717,0.978205430280718
denmark-1_4_0,56.19871680314403,8.068653968519895,0.9760793073593074
denmark-1_5_0,55.97429083885171,8.09950623795309,0.9885396559739656
denmark-1_6_0,55.74928247197074,8.049168260367548,0.9603656
denmark-1_7_0,56.87468714103954,8.430968608515405,0.9731824
denmark-1_8_0,56.650147548602426,8.434273115437653,0.98585488
denmark-1_9_0,56.42556355170768,8.437645374248437,0.9667472
denmark-1_10_0,56.20098803666424,8.440955789359252,0.97720576
denmark-1_11_0,55.97631664252434,8.444175233124659,0.97490976
denmark-1_12_0,55.75174219430632,8.447388809713587,0.96128112
denmark-1_13_0,56.87588873438951,8.8411167420307,0.9835912
denmark-1_14_0,56.65128830092848,8.841939717043823,0.95490192
denmark-1_15_0,56.42674223157365,8.842859199305568,0.96315504
denmark-1_16_0,56.20215907548839,8.843784217470551,0.96052688
denmark-1_17_0,55.97747241469292,8.844772550425747,0.97331376
denmark-1_18_0,55.75289414031672,8.845643395297364,0.97662768
denmark-1_19_0,55.528214975093135,8.846543472799526,0.96398832
denmark-1_20_0,55.30354305812302,8.847422714597318,0.9739264
denmark-1_21_0,57.324902115864674,9.254214916570032,0.98201616
denmark-1_22_0,57.10029488391075,9.25269464244992,0.96617408
denmark-1_23_0,56.87574146758619,9.251242079206268,0.98347424
denmark-1_24_0,56.65114015051513,9.24980591456866,0.95703536
denmark-1_25_0,56.42654352273221,9.248340953558891,0.95785952
denmark-1_26_0,56.20195538019943,9.246746065687349,0.95794304
denmark-1_27_0,55.97732544155071,9.245371889880309,0.97370992
denmark-1_28_0,55.7527424783937,9.243920280310974,0.96377488
denmark-1_29_0,55.52806244077268,9.24257966924768,0.97191968
denmark-1_30_0,57.32343952477409,9.669445106724698,0.96966656
denmark-1_31_0,57.09886839225525,9.665345612617765,0.9528192
denmark-1_32_0,56.87425350865722,9.661384628441464,0.98104688
denmark-1_33_0,56.649700370437934,9.657404529766756,0.9577424
denmark-1_34_0,56.42504935865814,9.65361081088116,0.9677464
denmark-1_35_0,56.20050239840423,9.649802786880825,0.97862192
denmark-1_36_0,55.97590280420068,9.64592433611166,0.96841328
denmark-1_37_0,55.526634944077664,9.638571065963932,0.97960464
denmark-1_38_0,57.54506862778119,10.091117231575808,0.96543584
denmark-1_39_0,57.32048077729725,10.08447975263242,0.97815216
denmark-1_40_0,57.09600841071419,10.077989575792142,0.9862426136363636
