grid_cell,grid_row_u,grid_col_r,product_id,timestamp,cloud_cover,nodata,centre_lat,centre_lon,crs,parquet_url,parquet_row,geometry,unique_identifier
648D_154L,-648,-154,S2A_MSIL1C_20200914T111721_N0500_R008_T26ENA_20230401T111345,2020-09-14 11:17:21,0.0,0.0,-58.15816063880469,-26.16598836208175,EPSG:32726,https://huggingface.co/datasets/Major-TOM/Core-S2L1C/resolve/main/images/part_00204.parquet,342,POINT (-26.16598836208175 -58.15816063880469),00001_n58.16_n26.17
642D_167L,-642,-167,S2A_MSIL1C_20200914T111721_N0500_R008_T26EMB_20230401T111345,2020-09-14 11:17:21,0.0,0.0,-57.62042582596401,-27.956068299549504,EPSG:32726,https://huggingface.co/datasets/Major-TOM/Core-S2L1C/resolve/main/images/part_00205.parquet,98,POINT (-27.956068299549504 -57.62042582596401),00003_n57.62_n27.96
636D_166L,-636,-166,S2B_MSIL1C_20221118T111719_N0400_R008_T26EMB_20221118T124436,2022-11-18 11:17:19,3.170808259338748,0.0,-57.08111060593932,-27.380190931578937,EPSG:32726,https://huggingface.co/datasets/Major-TOM/Core-S2L1C/resolve/main/images/part_00205.parquet,394,POINT (-27.380190931578937 -57.08111060593932),00005_n57.08_n27.38
632D_164L,-632,-164,S2A_MSIL1C_20230823T112721_N0509_R051_T26ENC_20230823T161113,2023-08-23 11:27:21,0.0,0.0,-56.7214379724314,-26.79146233056145,EPSG:32726,https://huggingface.co/datasets/Major-TOM/Core-S2L1C/resolve/main/images/part_00206.parquet,211,POINT (-26.79146233056145 -56.7214379724314),00007_n56.72_n26.79
627D_430L,-627,-430,S2A_MSIL1C_20220121T140051_N0301_R067_T19EDT_20220121T172618,2022-01-21 14:00:51,0.0,0.0,-56.27283313534996,-69.55414788932941,EPSG:32719,https://huggingface.co/datasets/Major-TOM/Core-S2L1C/resolve/main/images/part_00207.parquet,108,POINT (-69.55414788932941 -56.27283313534996),00009_n56.27_n69.55
623D_198L,-623,-198,S2B_MSIL1C_20210811T113709_N0500_R094_T25FEU_20230110T140430,2021-08-11 11:37:09,0.0,0.0,-55.91234193244958,-31.68616476063048,EPSG:32725,https://huggingface.co/datasets/Major-TOM/Core-S2L1C/resolve/main/images/part_00208.parquet,66,POINT (-31.68616476063048 -55.91234193244958),00011_n55.91_n31.69
619D_199L,-619,-199,S2B_MSIL1C_20211119T113709_N0500_R094_T25FEU_20221229T171513,2021-11-19 11:37:09,0.7654582053332211,0.0,-55.552976432626345,-31.551469080617423,EPSG:32725,https://huggingface.co/datasets/Major-TOM/Core-S2L1C/resolve/main/images/part_00209.parquet,17,POINT (-31.551469080617423 -55.552976432626345),00013_n55.55_n31.55
615D_381L,-615,-381,S2B_MSIL1C_20211208T134639_N0500_R081_T20FPD_20221225T223511,2021-12-08 13:46:39,0.0,0.0,-55.19271398131123,-59.95117104745243,EPSG:32720,https://huggingface.co/datasets/Major-TOM/Core-S2L1C/resolve/main/images/part_00209.parquet,474,POINT (-59.95117104745243 -55.19271398131123),00015_n55.19_n59.95
613D_433L,-613,-433,S2A_MSIL1C_20201015T140731_N0500_R024_T19FEV_20230325T042639,2020-10-15 14:07:31,2.247103339926216,0.0,-55.01422063720708,-67.81504905261994,EPSG:32719,https://huggingface.co/datasets/Major-TOM/Core-S2L1C/resolve/main/images/part_00210.parquet,192,POINT (-67.81504905261994 -55.01422063720708),00016_n55.01_n67.82
610D_483L,-610,-483,S2A_MSIL1C_20200318T141731_N0500_R010_T18FVE_20230628T014241,2020-03-18 14:17:31,0.0,0.0,-54.74561447875449,-75.16221765697848,EPSG:32718,https://huggingface.co/datasets/Major-TOM/Core-S2L1C/resolve/main/images/part_00211.parquet,84,POINT (-75.16221765697848 -54.74561447875449),00018_n54.75_n75.16
609D_448L,-609,-448,S2A_MSIL1C_20200720T140101_N0500_R067_T19FDV_20230325T201716,2020-07-20 14:01:01,0.0,0.0,-54.65604952441881,-69.55910506154483,EPSG:32719,https://huggingface.co/datasets/Major-TOM/Core-S2L1C/resolve/main/images/part_00211.parquet,276,POINT (-69.55910506154483 -54.65604952441881),00019_n54.66_n69.56
607D_452L,-607,-452,S2A_MSIL1C_20200720T140101_N0500_R067_T19FDV_20230325T201716,2020-07-20 14:01:01,0.0,0.0,-54.47661405030423,-69.8788067264223,EPSG:32719,https://huggingface.co/datasets/Major-TOM/Core-S2L1C/resolve/main/images/part_00212.parquet,101,POINT (-69.8788067264223 -54.47661405030423),00021_n54.48_n69.88
606D_467L,-606,-467,S2A_MSIL1C_20230313T141711_N0509_R010_T18FXE_20230313T192408,2023-03-13 14:17:11,0.8880226963486653,0.0,-54.38438364225521,-72.01891067356246,EPSG:32718,https://huggingface.co/datasets/Major-TOM/Core-S2L1C/resolve/main/images/part_00212.parquet,255,POINT (-72.01891067356246 -54.38438364225521),00022_n54.38_n72.02
605D_446L,-605,-446,S2B_MSIL1C_20230128T140729_N0509_R024_T19FEV_20230128T170938,2023-01-28 14:07:29,1.5245164050554785,0.0,-54.29616765780103,-68.62696553059291,EPSG:32719,https://huggingface.co/datasets/Major-TOM/Core-S2L1C/resolve/main/images/part_00212.parquet,443,POINT (-68.62696553059291 -54.29616765780103),00023_n54.30_n68.63
604D_422L,-604,-422,S2B_MSIL1C_20220910T140729_N0400_R024_T20FLE_20220910T185905,2022-09-10 14:07:29,0.0,0.0,-54.20774531351234,-64.78898715705823,EPSG:32720,https://huggingface.co/datasets/Major-TOM/Core-S2L1C/resolve/main/images/part_00213.parquet,133,POINT (-64.78898715705823 -54.20774531351234),00024_n54.21_n64.79
602D_439L,-602,-439,S2B_MSIL1C_20230421T135709_N0509_R067_T19FFA_20230421T171848,2023-04-21 13:57:09,0.1273864130511018,0.0,-54.025770169190494,-67.119538070106,EPSG:32719,https://huggingface.co/datasets/Major-TOM/Core-S2L1C/resolve/main/images/part_00213.parquet,467,POINT (-67.119538070106 -54.025770169190494),00026_n54.03_n67.12
601D_444L,-601,-444,S2B_MSIL1C_20220910T140729_N0400_R024_T19FEA_20220910T185905,2022-09-10 14:07:29,0.0,0.0,-53.93633104128521,-67.7401473206369,EPSG:32719,https://huggingface.co/datasets/Major-TOM/Core-S2L1C/resolve/main/images/part_00214.parquet,143,POINT (-67.7401473206369 -53.93633104128521),00027_n53.94_n67.74
600D_445L,-600,-445,S2A_MSIL1C_20230205T135701_N0509_R067_T19FEA_20230205T171730,2023-02-05 13:57:01,4.467379259072227,0.0,-53.84651638857017,-67.74915546498931,EPSG:32719,https://huggingface.co/datasets/Major-TOM/Core-S2L1C/resolve/main/images/part_00214.parquet,324,POINT (-67.74915546498931 -53.84651638857017),00028_n53.85_n67.75
599D_458L,-599,-458,S2B_MSIL1C_20230723T140709_N0509_R110_T19FDA_20230723T173031,2023-07-23 14:07:09,0.0,0.0,-53.75784861991821,-69.58125832296314,EPSG:32719,https://huggingface.co/datasets/Major-TOM/Core-S2L1C/resolve/main/images/part_00215.parquet,3,POINT (-69.58125832296314 -53.75784861991821),00029_n53.76_n69.58
598D_483L,-598,-483,S2B_MSIL1C_20211031T141049_N0500_R110_T18FXF_20230106T223137,2021-10-31 14:10:49,3.184835668897025,0.0,-53.66655907434125,-73.23139005169519,EPSG:32718,https://huggingface.co/datasets/Major-TOM/Core-S2L1C/resolve/main/images/part_00215.parquet,179,POINT (-73.23139005169519 -53.66655907434125),00030_n53.67_n73.23
597D_499R,-597,499,S2B_MSIL1C_20200505T044329_N0500_R047_T43FEA_20230416T173607,2020-05-05 04:43:29,3.553668868969968,0.0,-53.57742825350873,75.64915558563362,EPSG:32743,https://huggingface.co/datasets/Major-TOM/Core-S2L1C/resolve/main/images/part_00216.parquet,48,POINT (75.64915558563362 -53.57742825350873),00032_n53.58_p75.65
595D_393L,-595,-393,S2A_MSIL1C_20210318T134641_N0500_R081_T21FUA_20230513T065033,2021-03-18 13:46:41,0.0,0.0,-53.39960975767562,-59.19351659905882,EPSG:32721,https://huggingface.co/datasets/Major-TOM/Core-S2L1C/resolve/main/images/part_00216.parquet,409,POINT (-59.19351659905882 -53.39960975767562),00034_n53.40_n59.19
593D_474L,-593,-474,S2B_MSIL1C_20211031T141049_N0500_R110_T19FCB_20230106T223137,2021-10-31 14:10:49,0.8349815539564308,0.0,-53.21989107380604,-71.08220628965653,EPSG:32719,https://huggingface.co/datasets/Major-TOM/Core-S2L1C/resolve/main/images/part_00217.parquet,303,POINT (-71.08220628965653 -53.21989107380604),00036_n53.22_n71.08
593D_510R,-593,510,S2A_MSIL1C_20230704T044331_N0509_R047_T43FFB_20230704T062204,2023-07-04 04:43:31,2.117437472821894,0.0,-53.21753960927234,76.63701866777491,EPSG:32743,https://huggingface.co/datasets/Major-TOM/Core-S2L1C/resolve/main/images/part_00217.parquet,465,POINT (76.63701866777491 -53.21753960927234),00037_n53.22_p76.64
591D_383L,-591,-383,S2A_MSIL1C_20211230T133641_N0500_R038_T21FVB_20221224T184246,2021-12-30 13:36:41,0.0,0.0,-53.03902500293972,-57.18429592956178,EPSG:32721,https://huggingface.co/datasets/Major-TOM/Core-S2L1C/resolve/main/images/part_00218.parquet,350,POINT (-57.18429592956178 -53.03902500293972),00039_n53.04_n57.18
589D_459L,-589,-459,S2A_MSIL1C_20200730T140101_N0500_R067_T19FEB_20230326T035322,2020-07-30 14:01:01,0.0,0.0,-52.858809468756064,-68.26389676266037,EPSG:32719,https://huggingface.co/datasets/Major-TOM/Core-S2L1C/resolve/main/images/part_00219.parquet,218,POINT (-68.26389676266037 -52.858809468756064),00041_n52.86_n68.26
588D_472L,-588,-472,S2B_MSIL1C_20230730T135709_N0509_R067_T19FDB_20230730T185931,2023-07-30 13:57:09,0.0,0.0,-52.770111870546906,-70.0526815735685,EPSG:32719,https://huggingface.co/datasets/Major-TOM/Core-S2L1C/resolve/main/images/part_00219.parquet,409,POINT (-70.0526815735685 -52.770111870546906),00042_n52.77_n70.05
587D_492L,-587,-492,S2A_MSIL1C_20200626T141741_N0500_R010_T18FXG_20230330T020511,2020-06-26 14:17:41,0.0,0.0,-52.67832917688476,-72.87712710595703,EPSG:32718,https://huggingface.co/datasets/Major-TOM/Core-S2L1C/resolve/main/images/part_00220.parquet,94,POINT (-72.87712710595703 -52.67832917688476),00043_n52.68_n72.88
586D_488R,-586,488,S2A_MSIL1C_20230905T045331_N0509_R090_T43FCB_20230905T075605,2023-09-05 04:53:31,1.5462588898708076,0.0,-52.59154881375564,72.28373180326565,EPSG:32743,https://huggingface.co/datasets/Major-TOM/Core-S2L1C/resolve/main/images/part_00220.parquet,400,POINT (72.28373180326565 -52.59154881375564),00045_n52.59_p72.28
584D_384L,-584,-384,S2A_MSIL1C_20230325T133641_N0509_R038_T21FWB_20230325T181814,2023-03-25 13:36:41,0.0,0.0,-52.40985965897308,-56.513081585025965,EPSG:32721,https://huggingface.co/datasets/Major-TOM/Core-S2L1C/resolve/main/images/part_00221.parquet,255,POINT (-56.513081585025965 -52.40985965897308),00047_n52.41_n56.51
582D_393L,-582,-393,S2B_MSIL1C_20230129T133639_N0509_R038_T21FVC_20230129T150003,2023-01-29 13:36:39,0.0,0.0,-52.2308956954115,-57.6024264189376,EPSG:32721,https://huggingface.co/datasets/Major-TOM/Core-S2L1C/resolve/main/images/part_00222.parquet,101,POINT (-57.6024264189376 -52.2308956954115),00049_n52.23_n57.60
581D_408L,-581,-408,S2B_MSIL1C_20200805T134639_N0500_R081_T21FUC_20230406T040824,2020-08-05 13:46:39,0.0,0.0,-52.14240940019278,-59.68014361328039,EPSG:32721,https://huggingface.co/datasets/Major-TOM/Core-S2L1C/resolve/main/images/part_00222.parquet,259,POINT (-59.68014361328039 -52.14240940019278),00050_n52.14_n59.68
579D_416L,-579,-416,S2A_MSIL1C_20200222T134631_N0500_R081_T20FPH_20230422T175417,2020-02-22 13:46:31,3.2814494522296567,0.0,-51.95963049671491,-60.6348973464,EPSG:32720,https://huggingface.co/datasets/Major-TOM/Core-S2L1C/resolve/main/images/part_00223.parquet,93,POINT (-60.6348973464 -51.95963049671491),00052_n51.96_n60.63
578D_424L,-578,-424,S2A_MSIL1C_20200202T134631_N0500_R081_T20FNH_20230425T115559,2020-02-02 13:46:31,0.0,0.0,-51.87042822405814,-61.67621642845539,EPSG:32720,https://huggingface.co/datasets/Major-TOM/Core-S2L1C/resolve/main/images/part_00223.parquet,246,POINT (-61.67621642845539 -51.87042822405814),00053_n51.87_n61.68
