,samples
00000_n58.43_n29.80_train_s2.npy,16
00001_n58.16_n26.17_train_s2.npy,16
00002_n57.89_n26.31_train_s2.npy,16
00004_n57.35_n27.08_train_s2.npy,16
00005_n57.08_n27.38_train_s2.npy,16
00007_n56.72_n26.79_train_s2.npy,16
00008_n56.54_n28.14_train_s2.npy,16
00010_n56.09_n66.18_train_s2.npy,15
00011_n55.91_n31.69_train_s2.npy,16
00012_n55.74_n29.78_train_s2.npy,16
00014_n55.37_n61.16_train_s2.npy,16
00015_n55.19_n59.95_train_s2.npy,16
00017_n54.92_n38.41_train_s2.npy,16
00018_n54.75_n75.16_train_s2.npy,16
00020_n54.56_n72.36_train_s2.npy,16
00021_n54.48_n69.88_train_s2.npy,16
00022_n54.38_n72.02_train_s2.npy,16
00024_n54.21_n64.79_train_s2.npy,16
00025_n54.12_n64.50_train_s2.npy,16
00027_n53.94_n67.74_train_s2.npy,16
00028_n53.85_n67.75_train_s2.npy,12
00030_n53.67_n73.23_train_s2.npy,16
00031_n53.67_p76.72_train_s2.npy,16
00032_n53.58_p75.65_train_s2.npy,15
00034_n53.40_n59.19_train_s2.npy,16
00035_n53.31_n67.50_train_s2.npy,16
00037_n53.22_p76.64_train_s2.npy,16
00038_n53.13_n38.73_train_s2.npy,16
00040_n52.95_n62.59_train_s2.npy,16
00041_n52.86_n68.26_train_s2.npy,16
00042_n52.77_n70.05_train_s2.npy,16
00044_n52.68_p170.59_train_s2.npy,16
00045_n52.59_p72.28_train_s2.npy,16
00047_n52.41_n56.51_train_s2.npy,16
00048_n52.32_n57.87_train_s2.npy,16
00050_n52.14_n59.68_train_s2.npy,16
00051_n52.05_n61.34_train_s2.npy,16
00052_n51.96_n60.63_train_s2.npy,16
00054_n51.78_n64.02_train_s2.npy,16
00055_n51.69_n64.18_train_s2.npy,16
00057_n51.51_n63.78_train_s2.npy,16
00058_n51.42_n61.78_train_s2.npy,16
00060_n51.24_n61.53_train_s2.npy,16
00061_n51.15_n62.84_train_s2.npy,16
00062_n51.06_n62.29_train_s2.npy,16
00064_n50.88_n69.48_train_s2.npy,16
00065_n50.79_n70.48_train_s2.npy,16
00067_n50.70_p167.58_train_s2.npy,16
00068_n50.62_p72.61_train_s2.npy,16
00070_n50.43_n72.05_train_s2.npy,16
00071_n50.34_n74.72_train_s2.npy,16
00072_n50.34_p69.51_train_s2.npy,16
00074_n50.16_n73.62_train_s2.npy,16
00075_n50.17_p162.60_train_s2.npy,16
00077_n49.99_n70.11_train_s2.npy,16
00078_n49.90_n178.81_train_s2.npy,16
00080_n49.81_n69.87_train_s2.npy,16
00081_n49.72_n75.43_train_s2.npy,16
00082_n49.72_p73.21_train_s2.npy,16
00084_n49.54_n178.34_train_s2.npy,15
00085_n49.54_p69.05_train_s2.npy,16
00087_n49.36_n178.69_train_s2.npy,16
00088_n49.36_p69.78_train_s2.npy,16
